Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
3,5,West_Virginia,WV,1940,933392,968582,594358,1206642,100974,25,93,117754,1784102,1901974,194409,250406,444815
2,3,Wisconsin,WI,1940,1537411,1600176,782232,2113173,242182,12265,412,12158,3112752,3137587,450208,376999,827207
4,8,Wyoming,WY,1940,115687,135055,66719,171465,12558,2349,840,956,246597,250742,33749,35625,69374
3,6,Alabama,AL,1950,1559103,1502640,1000367,1862728,198648,928,275,979617,2079591,3061743,388996,397843,786839
4,8,Arizona,AZ,1950,370528,379059,239077,466269,44241,65761,2731,25974,654511,749587,118620,91754,210374
3,7,Arkansas,AR,1950,957977,951534,609827,1150689,148995,533,705,426639,1481507,1909511,285599,238792,524391
4,9,California,CA,1950,5290594,5295629,2599572,7091646,895005,19947,143280,462172,9915173,10586223,1811684,1521722,3333406
4,8,Colorado,CO,1950,659940,665149,364081,845416,115592,1567,5870,20177,1296653,1325089,227298,163937,391235
1,1,Connecticut,CT,1950,1018783,988497,476866,1353590,176824,333,704,53472,1952329,2007280,290968,278670,569638
3,5,Delaware,DE,1950,160741,157344,81957,209808,26320,0,99,43598,273878,318085,53247,37143,90390
3,5,District_of_Columbia,DC,1950,424260,377918,160861,584630,56687,330,2178,280803,517865,802178,72362,151780,224142
3,5,Florida,FL,1950,1404388,1366917,725803,1808028,237474,1011,667,603101,2166051,2771305,473124,348377,821501
3,5,Georgia,GA,1950,1755911,1688667,1088987,2135936,219655,333,639,1062762,2380577,3444578,413696,475573,889269
4,8,Idaho,ID,1950,285400,303237,186669,358431,43537,3800,2224,1050,581395,588637,110694,58416,169110
2,3,Illinois,IL,1950,4392925,4319251,2092536,5865339,754301,1443,15853,645980,8046058,8712176,1294249,1287751,2582000
2,3,Indiana,IN,1950,1975708,1958516,1053397,2519801,361026,438,814,174168,3758512,3934224,766018,402898,1168916
2,4,Iowa,IA,1950,1310790,1310283,705868,1642207,272998,1084,620,19692,2599546,2621073,494826,285341,780167
2,4,Kansas,KS,1950,951765,953534,499149,1211932,194218,2381,431,73158,1828961,1905299,375033,211617,586650
3,6,Kentucky,KY,1950,1469819,1474987,908443,1801120,235243,234,409,201921,2742090,2944806,456797,321957,778754
3,7,Louisiana,LA,1950,1364350,1319166,844930,1661737,176849,409,653,882428,1796683,2683516,364945,360000,724945
1,1,Maine,ME,1950,459629,454145,253454,566758,93562,1522,107,1221,910846,913774,159824,94619,254443
3,5,Maryland,MD,1950,1176398,1166603,625852,1553635,163514,314,1084,385972,1954975,2343001,360718,280504,641222
1,1,Massachusetts,MA,1950,2420147,2270367,1109076,3113002,468436,1201,4011,73171,4611503,4690514,624838,680356,1305194
2,3,Michigan,MI,1950,3159647,3212119,1744518,4165598,461650,7000,3136,442296,5917825,6371766,1208975,581727,1790702
2,4,Minnesota,MN,1950,1481275,1501208,823899,1889454,269130,12533,1769,14022,2953697,2982483,561177,284088,845265
3,6,Mississippi,MS,1950,1102123,1076791,739861,1286089,152964,2502,1073,986494,1188632,2178914,265061,289704,554765
2,4,Missouri,MO,1950,2013790,1940863,986213,2561052,407388,547,1046,297088,3655593,3954653,691256,506341,1197597
4,8,Montana,MT,1950,281601,309423,170092,370068,50864,16606,733,1232,572038,591024,105744,69726,175470
2,4,Nebraska,NE,1950,658178,667332,348684,846447,130379,3954,821,19234,1301328,1325510,238810,155338,394148
4,8,Nevada,NV,1950,75066,85017,41425,107672,10986,5025,663,4302,149908,160083,24484,25757,50241
1,1,New_Hampshire,NH,1950,270818,262424,135583,339866,57793,74,118,731,532275,533242,90213,64990,155203
1,2,New_Jersey,NJ,1950,2452585,2382744,1121276,3320064,393989,621,3602,318565,4511585,4835329,729993,643644,1373637
4,8,New_Mexico,NM,1950,333643,347544,237153,410970,33064,41901,417,8408,630211,681187,104131,72862,176993
1,2,New_York,NY,1950,7590248,7239944,3351930,10219805,1258457,10640,24064,918191,13872095,14830192,1638860,2686279,4325139
3,5,North_Carolina,NC,1950,2044824,2017105,1311723,2524909,225297,3742,443,1047353,2983121,4061929,530371,463985,994356
2,4,North_Dakota,ND,1950,296692,322944,192176,379264,48196,10766,143,257,608448,619636,107341,54764,162105
2,3,Ohio,OH,1950,4018093,3928534,2053594,5184058,708975,1146,3528,513072,7428222,7946627,1413086,900904,2313990
3,7,Oklahoma,OK,1950,1117796,1115555,639381,1400048,193922,53769,534,145503,2032526,2233351,397811,265392,663203
4,9,Oregon,OR,1950,748565,772776,403651,984669,133021,5820,5762,11529,1497128,1521341,312828,166219,479047
1,2,Pennsylvania,PA,1950,5327601,5170411,2629253,6981934,886825,1141,3287,638485,9853848,10498012,1739833,1176046,2915879
1,1,Rhode_Island,RI,1950,401313,390583,186041,535437,70418,385,428,13903,777015,791896,102071,123376,225447
3,5,South_Carolina,SC,1950,1076487,1040540,735947,1266075,115005,554,135,822077,1293405,2117027,232284,282354,514638
2,4,South_Dakota,SD,1950,315489,337251,190375,407069,55296,23344,100,727,628504,652740,113780,69198,182978
3,6,Tennessee,TN,1950,1668611,1623107,989434,2067400,234884,339,334,530603,2760257,3291718,492643,378831,871474
3,7,Texas,TX,1950,3848052,3863142,2246776,4950998,513420,2736,3392,977458,6726534,7711194,1241540,947638,2189178
4,8,Utah,UT,1950,341226,347636,230979,415465,42418,4201,4787,2729,676909,688862,122600,65225,187825
1,1,Vermont,VT,1950,189993,187754,105889,232324,39534,30,48,443,377188,377747,63397,40099,103496
3,5,Virginia,VA,1950,1643464,1675216,965500,2138656,214524,1056,758,734211,2581555,3318680,465933,379326,845259
4,9,Washington,WA,1950,1155112,1223851,626807,1540751,211405,13816,13102,30691,2316496,2378963,477897,257849,735746
3,5,West_Virginia,WV,1950,999265,1006287,636476,1230550,138526,160,145,114867,1890282,2005552,284924,233357,518281
2,3,Wisconsin,WI,1950,1707733,1726842,926573,2198085,309917,12196,1119,28182,3392690,3434575,613959,353489,967448
4,8,Wyoming,WY,1950,135676,154853,84542,187822,18165,3237,556,2557,284009,290529,45428,38757,84185
3,6,Alabama,AL,1960,1675031,1591709,1108552,1897041,261147,1276,915,980271,2283609,3266740,528031,356085,884116
4,8,Arizona,AZ,1960,647233,654928,452796,759140,90225,83387,5380,43403,1169517,1302161,234347,132283,366630
3,7,Arkansas,AR,1960,907285,878987,569659,1022241,194372,580,996,388787,1395703,1786272,321219,202333,523552
4,9,California,CA,1960,7880497,7836707,4763695,9577305,1376204,39014,318376,883861,14455230,15717204,2910093,2072015,4982108
4,8,Colorado,CO,1960,883480,870467,569058,1026729,158160,4288,8175,39992,1700700,1753947,337565,191854,529419
1,1,Connecticut,CT,1960,1291005,1244229,747274,1545345,242615,923,2244,107449,2423816,2535234,465672,287064,752736
3,5,Delaware,DE,1960,225156,221136,143568,266979,35745,597,410,60688,384327,446292,85971,42611,128582
3,5,District_of_Columbia,DC,1960,405785,358171,193672,501141,69143,587,4690,411737,345263,763956,75532,176534,252066
3,5,Florida,FL,1960,2514777,2436783,1466814,2931617,553129,2504,3699,880186,4063881,4951560,1047217,503197,1550414
3,5,Georgia,GA,1960,2017203,1925913,1323749,2328706,290661,749,2004,1122596,2817223,3943116,601631,468694,1070325
4,8,Idaho,ID,1960,328770,338421,231449,377484,58258,5231,2758,1502,657383,667191,136746,57093,193839
2,3,Illinois,IL,1960,5128292,4952866,3001418,6104817,974923,4704,24708,1037470,9010252,10081158,1782127,1302844,3084971
2,3,Indiana,IN,1960,2363760,2298738,1481568,2735411,445519,948,2447,269275,4388554,4662498,986098,401780,1387878
2,4,Iowa,IA,1960,1398490,1359047,857852,1572000,327685,1708,1189,25354,2728709,2757537,581352,260005,841357
2,4,Kansas,KS,1960,1097234,1081377,672312,1266030,240269,5069,2271,91445,2078666,2178611,463350,209549,672899
3,6,Kentucky,KY,1960,1529708,1508448,979757,1766076,292323,391,1298,215949,2820083,3038156,547750,304117,851867
3,7,Louisiana,LA,1960,1664768,1592254,1147992,1867439,241591,3587,2004,1039207,2211715,3257022,526366,365978,892344
1,1,Maine,ME,1960,490211,479054,300978,561743,106544,1879,597,3318,963291,969265,186379,93976,280355
3,5,Maryland,MD,1960,1567489,1533200,992573,1881577,226539,1538,5700,518410,2573919,3100689,556391,306610,863001
1,1,Massachusetts,MA,1960,2662343,2486235,1480833,3096136,571609,2118,9478,111842,5023144,5148578,857436,677549,1534985
2,3,Michigan,MI,1960,3940326,3882868,2591796,4593214,638184,9701,7579,717581,7085865,7823194,1665603,573476,2239079
2,4,Minnesota,MN,1960,1720902,1692962,1121365,1938148,354351,15496,3642,22263,3371603,3413864,714960,277021,991981
3,6,Mississippi,MS,1960,1110208,1067933,780270,1207842,190029,3119,1481,915743,1257546,2178141,327894,240176,568070
2,4,Missouri,MO,1960,2211534,2108279,1264968,2551434,503411,1723,3146,390853,3922967,4319813,874532,485522,1360054
4,8,Montana,MT,1960,331024,343743,227192,382155,65420,21181,1082,1467,650738,674767,129399,72841,202240
2,4,Nebraska,NE,1960,711304,700026,435825,811349,164156,5545,1318,29262,1374764,1411330,280867,152581,433448
4,8,Nevada,NV,1960,137757,147521,87243,179862,18173,6681,1402,13484,263443,285278,51491,40029,91520
1,1,New_Hampshire,NH,1960,308814,298107,182509,356707,67705,135,400,1903,604334,606921,117232,62788,180020
1,2,New_Jersey,NJ,1960,3094791,2971991,1748789,3757579,560414,1699,8778,514875,5539003,6066782,1107841,698598,1806439
4,8,New_Mexico,NM,1960,471253,479770,360689,539064,51270,56255,1484,17063,875763,951023,163926,87283,251209
1,2,New_York,NY,1960,8659065,8123239,4627071,10467643,1687590,16491,51678,1417511,15287071,16782304,2350265,2898445,5248710
3,5,North_Carolina,NC,1960,2309086,2247069,1521107,2722881,312167,38129,2012,1116021,3399285,4556155,724631,480084,1204715
2,4,North_Dakota,ND,1960,309238,323208,217685,356170,58591,11736,274,777,619538,632446,118566,54796,173362
2,3,Ohio,OH,1960,4942169,4764228,3078536,5730737,897124,1910,6585,786097,8909698,9706397,1922686,929871,2852557
3,7,Oklahoma,OK,1960,1180433,1147851,697719,1381734,248831,64689,1414,153084,2107900,2328284,492263,242330,734593
4,9,Oregon,OR,1960,888736,879951,545289,1039745,183653,8026,9120,18133,1732037,1768687,386608,171606,558214
1,2,Pennsylvania,PA,1960,5809515,5509851,3295090,6895751,1128525,2122,7729,852750,10454004,11319366,2289741,1061098,3350839
1,1,Rhode_Island,RI,1960,437643,421845,243828,526120,89540,932,1190,18332,838712,859488,140336,116999,257335
3,5,South_Carolina,SC,1960,1206776,1175818,850128,1381867,150599,1098,946,829291,1551022,2382594,345756,257795,603551
2,4,South_Dakota,SD,1960,336243,344271,228482,380519,71513,25794,336,1114,653098,680514,130864,63957,194821
3,6,Tennessee,TN,1960,1826399,1740690,1128020,2130208,308861,638,1243,586876,2977753,3567089,639600,363701,1003301
3,7,Texas,TX,1960,4834696,4744981,3172234,5662052,745391,5750,9848,1187125,8374831,9579677,1799477,978639,2778116
4,8,Utah,UT,1960,445703,444924,334292,496378,59957,6961,5207,4148,873828,890627,173296,68236,241532
1,1,Vermont,VT,1960,198138,191743,122601,223539,43741,57,172,519,389092,389881,73115,37617,110732
3,5,Virginia,VA,1960,1987577,1979372,1268666,2409313,288970,2155,4725,816258,3142443,3966949,658078,414762,1072840
4,9,Washington,WA,1960,1418177,1435037,892194,1681975,279045,21076,29253,48738,2751675,2853214,612443,281725,894168
3,5,West_Virginia,WV,1960,945386,915035,598478,1089427,172516,181,419,89378,1770133,1860421,335068,186074,521142
2,3,Wisconsin,WI,1960,1987265,1964512,1269103,2279938,402736,14297,2836,74546,3858903,3951777,786617,359725,1146342
4,8,Wyoming,WY,1960,161051,169015,111374,192784,25908,4020,805,2183,322922,330066,61676,37511,99187
3,6,Alabama,AL,1970,1782224,1661941,1020158,2098046,325961,2443,2245,903467,2533831,3444165,689411,344702,1034113
4,8,Arizona,AZ,1970,899894,871006,537531,1071895,161474,95812,7525,53344,1604948,1770900,352043,187114,539157
3,7,Arkansas,AR,1970,990985,932310,540835,1144700,237760,2014,1619,352445,1565915,1923295,410438,204986,615424
4,9,California,CA,1970,10136449,9816685,5524491,12627666,1800977,91018,522270,1400143,17761032,19953134,3611347,2962514,6573861
4,8,Colorado,CO,1970,1117882,1089377,644218,1375150,187891,8836,10388,66411,2112352,2207259,438120,252808,690928
1,1,Connecticut,CT,1970,1561222,1470487,853439,1889362,288908,2222,6007,181177,2835458,3031709,583381,349888,933269
3,5,Delaware,DE,1970,280772,267332,165382,338889,43833,656,1310,78276,466459,548104,112120,52684,164804
3,5,District_of_Columbia,DC,1970,405019,351491,188381,497326,70803,956,4895,537712,209272,756510,73980,188558,262538
3,5,Florida,FL,1970,3513872,3275571,1749907,4050170,989366,6677,12315,1041651,5719343,6789443,1566864,717922,2284786
3,5,Georgia,GA,1970,2358879,2230696,1372944,2849173,367458,2347,4673,1187149,3391242,4589575,836323,532902,1369225
4,8,Idaho,ID,1970,356817,355750,216298,428493,67776,6687,2959,2130,698802,712567,153589,65371,218960
2,3,Illinois,IL,1970,5722140,5391836,3170230,6850092,1093654,11413,44427,1425674,9600381,11113976,2081101,1421037,3502138
2,3,Indiana,IN,1970,2662499,2531170,1530603,3169257,493809,3887,5759,357464,4820324,5193669,1153249,456245,1609494
2,4,Iowa,IA,1970,1451509,1372867,806753,1667330,350293,2992,2616,32596,2782762,2824376,642676,253635,896311
2,4,Kansas,KS,1970,1145005,1101573,614978,1365399,266201,8672,3575,106977,2122068,2246578,502585,224779,727364
3,6,Kentucky,KY,1970,1639670,1579036,921734,1959544,337428,1531,2265,230793,2981766,3218706,657909,325756,983665
3,7,Louisiana,LA,1970,1869822,1771484,1156439,2178160,306707,5294,3712,1086832,2541498,3641306,663927,388111,1052038
1,1,Maine,ME,1970,509183,482865,285981,591475,114592,2195,1007,2800,985276,992048,212199,90724,302923
3,5,Maryland,MD,1970,2006078,1916321,1158687,2464030,299682,4239,15423,699479,3194888,3922399,690514,484559,1175073
1,1,Massachusetts,MA,1970,2969772,2719398,1567823,3485162,636185,4475,20766,175817,5477624,5689170,1012173,747519,1759692
2,3,Michigan,MI,1970,4526435,4348648,2707546,5414582,752955,16854,15285,991066,7833474,8875083,1974548,678511,2653059
2,4,Minnesota,MN,1970,1941161,1863810,1149427,2246625,408919,23128,6481,34868,3736038,3804971,824629,329317,1153946
3,6,Mississippi,MS,1970,1142695,1074217,699805,1294787,222320,4113,2377,815770,1393283,2216912,421900,214824,636724
2,4,Missouri,MO,1970,2420549,2255952,1290427,2825418,560656,5405,7207,480172,4177495,4676501,1021106,499461,1520567
4,8,Montana,MT,1970,347404,347005,207930,417743,68736,27130,1099,1995,663043,694409,142774,74530,217304
2,4,Nebraska,NE,1970,759038,724455,420419,879548,183526,6624,2189,39911,1432867,1483493,314600,159121,473721
4,8,Nevada,NV,1970,240940,247798,144056,313714,30968,7933,2859,27762,448177,488738,93676,66376,160052
1,1,New_Hampshire,NH,1970,377009,360672,214276,444993,78412,361,937,2505,733106,737681,153771,71607,225378
1,2,New_Jersey,NJ,1970,3700791,3467373,1992283,4478892,696989,4706,20537,770292,6349908,7168164,1349815,868367,2218182
4,8,New_Mexico,NM,1970,515176,500824,338695,606694,70611,72788,1889,19555,915815,1016000,192231,97158,289389
1,2,New_York,NY,1970,9521628,8715339,4877422,11398793,1960752,28355,116008,2168949,15834090,18236967,2795635,3118226,5913861
3,5,North_Carolina,NC,1970,2593692,2488367,1452663,3215276,414120,44406,4264,1126478,3901767,5082059,987290,522274,1509564
2,4,North_Dakota,ND,1970,306152,311609,185892,365501,66368,14369,608,2494,599485,617761,124190,57423,181613
2,3,Ohio,OH,1970,5488644,5163373,3107689,6546634,997694,6654,14350,970477,9646997,10652017,2226021,1063411,3289432
3,7,Oklahoma,OK,1970,1312874,1246355,688511,1570962,299756,98468,3019,171892,2280362,2559229,588895,261908,850803
4,9,Oregon,OR,1970,1067433,1023952,569689,1294897,226799,13510,13290,26308,2032079,2091385,457017,234614,691631
1,2,Pennsylvania,PA,1970,6128495,5665414,3177496,7344287,1272126,5533,17074,1016514,10737732,11793909,2549277,1156133,3705410
1,1,Rhode_Island,RI,1970,482434,464291,250198,592595,103932,1390,3483,25338,914757,946725,168923,123042,291965
3,5,South_Carolina,SC,1970,1318429,1272087,787709,1611847,190960,2241,2569,789041,1794430,2590516,485427,248946,734373
2,4,South_Dakota,SD,1970,335474,330033,197398,387625,80484,32365,467,1627,630333,665507,139681,61126,200807
3,6,Tennessee,TN,1970,2026013,1897674,1096781,2442981,383925,2276,3616,621261,3293930,3923687,809376,403811,1213187
3,7,Texas,TX,1970,5715561,5481169,3328468,6876203,992059,17957,17614,1399005,9717128,11196730,2222469,1211527,3433996
4,8,Utah,UT,1970,536008,523265,352549,629163,77561,11273,6386,6617,1031926,1059273,206570,91364,297934
1,1,Vermont,VT,1970,227164,217166,131215,265627,47488,229,360,761,442553,444330,91285,40813,132098
3,5,Virginia,VA,1970,2351373,2297121,1323333,2959140,366021,4853,13801,861368,3761514,4648494,862591,528045,1390636
4,9,Washington,WA,1970,1715422,1693747,957731,2129377,322061,33386,40998,71308,3251055,3409169,738186,367401,1105587
3,5,West_Virginia,WV,1970,899568,844669,473758,1076005,194474,751,1463,67342,1673480,1744237,376767,170447,547214
2,3,Wisconsin,WI,1970,2250358,2167373,1317589,2627277,472865,18924,6557,128224,4258959,4417731,918123,410681,1328804
4,8,Wyoming,WY,1970,165641,166775,98794,203418,30204,4980,966,2568,323024,332416,69440,35160,104600
3,6,Alabama,AL,1980,2022354,1871534,938658,2515215,440015,7583,9734,996335,2872621,3893888,941219,400637,1341856
4,8,Arizona,AZ,1980,1380273,1337942,644523,1766330,307362,152745,22032,74977,2240761,2718215,653833,303199,957032
3,7,Arkansas,AR,1980,1181747,1104688,541448,1432510,312477,9428,6740,373768,1890322,2286435,575478,240587,816065
4,9,California,CA,1980,12001417,11666485,5154767,16098885,2414250,201369,1253818,1819281,18030893,23667902,4825252,3804614,8629866
4,8,Colorado,CO,1980,1455671,1434293,655777,1986862,247325,18068,29916,101703,2571498,2889964,684408,376841,1061249
1,1,Connecticut,CT,1980,1609571,1498005,647229,2095483,364864,4533,18970,217433,2799420,3107576,699224,394454,1093678
3,5,Delaware,DE,1980,307739,286599,132097,403062,59179,1328,4112,95845,487817,594338,143073,64008,207081
3,5,District_of_Columbia,DC,1980,342916,295417,113116,450930,74287,1031,6636,448906,171768,638333,89846,163297,253143
3,5,Florida,FL,1980,5070698,4675626,1876774,6181977,1687573,19257,56740,1342688,8184513,9746324,2557079,1187175,3744254
3,5,Georgia,GA,1980,2822660,2640445,1331364,3615010,516731,7616,24457,1465181,3947135,5463105,1216459,655193,1871652
4,8,Idaho,ID,1980,472780,471155,255483,594772,93680,10521,5948,2716,901641,943935,233393,90714,324107
2,3,Illinois,IL,1980,5888981,5537537,2611239,7553394,1261885,16283,159653,1675398,9233327,11426518,2533832,1511542,4045374
2,3,Indiana,IN,1980,2824399,2665825,1306645,3598195,585384,7836,20557,414785,5004394,5490224,1381918,545132,1927050
2,4,Iowa,IA,1980,1497418,1416390,664369,1861855,387584,5455,11577,41700,2839225,2913808,756517,296516,1053033
2,4,Kansas,KS,1980,1206738,1156941,525255,1532161,306263,15373,15078,126127,2168221,2363679,612435,259804,872239
3,6,Kentucky,KY,1980,1871738,1789039,873887,2377062,409828,3610,9970,259477,3379006,3660777,884825,378530,1263355
3,7,Louisiana,LA,1980,2166006,2039894,1079294,2722327,404279,12065,23779,1238241,2912172,4205900,925139,486649,1411788
1,1,Maine,ME,1980,578425,546235,256970,726772,140918,4087,2947,3128,1109850,1124660,280377,114807,395184
3,5,Maryland,MD,1980,2174165,2042810,921768,2899598,395609,8021,64278,958150,3158838,4216975,905535,555330,1460865
1,1,Massachusetts,MA,1980,3006144,2730893,1173281,3837225,726531,7743,49501,221279,5362836,5737037,1169819,862898,2032717
2,3,Michigan,MI,1980,4745889,4516189,2214107,6135713,912258,40050,56790,1199023,7872241,9262078,2321883,873330,3195213
2,4,Minnesota,MN,1980,2078144,1997826,936922,2659484,479564,35016,26536,53344,3935770,4075970,1035689,409533,1445222
3,6,Mississippi,MS,1980,1306760,1213878,660603,1570678,289357,6180,7412,887206,1615190,2520638,587696,239473,827169
2,4,Missouri,MO,1980,2551199,2365487,1091738,3176822,648126,12321,23096,514276,4345521,4916686,1248785,544614,1793399
4,8,Montana,MT,1980,394065,392625,187232,514899,84559,37270,2503,1786,740148,786690,194580,89162,283742
2,4,Nebraska,NE,1980,803931,765894,361898,1002243,205684,9195,7002,48390,1490381,1569825,390931,180469,571400
4,8,Nevada,NV,1980,395433,405060,173565,561172,65756,13308,14164,50999,700345,800493,181274,123053,304327
1,1,New_Hampshire,NH,1980,472148,448462,207272,610371,102967,1352,2929,3990,910099,920610,218823,104670,323493
1,2,New_Jersey,NJ,1980,3831811,3533012,1577577,4927475,859771,8394,103848,925066,6127467,7364823,1579827,968767,2548594
4,8,New_Mexico,NM,1980,660737,642157,338447,848541,115906,106119,6825,24020,977587,1302894,300570,140896,441466
1,2,New_York,NY,1980,9218650,8339422,3726864,11670441,2160767,39582,310526,2402006,13960868,17558072,3083406,3257023,6340429
3,5,North_Carolina,NC,1980,3026381,2855385,1333992,3944593,603181,64652,21176,1318857,4457507,5881766,1397425,645866,2043291
2,4,North_Dakota,ND,1980,324291,328426,154811,417461,80445,20158,1979,2568,625557,652717,156498,71166,227664
2,3,Ohio,OH,1980,5580493,5217137,2495255,7132915,1169460,12239,47820,1076748,9597458,10797630,2622919,1210909,3833828
3,7,Oklahoma,OK,1980,1548585,1476705,693555,1955609,376126,169459,17275,204674,2597791,3025290,790614,327947,1118561
4,9,Oregon,OR,1980,1336539,1296566,589878,1739891,303336,27314,34775,37060,2490610,2633105,645941,345652,991593
1,2,Pennsylvania,PA,1980,6181305,5682590,2484500,7848462,1530933,9465,64379,1046810,10652320,11863895,2950649,1268957,4219606
1,1,Rhode_Island,RI,1980,495903,451251,192327,627905,126922,2898,5303,27584,896692,947154,199075,139515,338590
3,5,South_Carolina,SC,1980,1603807,1518013,758338,2076154,287328,5757,11834,948623,2147224,3121820,722547,307434,1029981
2,4,South_Dakota,SD,1980,350085,340683,165717,434032,91019,44968,1738,2144,639669,690768,168002,74521,242523
3,6,Tennessee,TN,1980,2374520,2216600,1045956,3027576,517588,5104,13963,725942,3835452,4591120,1110074,508431,1618505
3,7,Texas,TX,1980,7230468,6998723,3518938,9339092,1371161,40075,120313,1710175,11198441,14229191,3169512,1759755,4929267
4,8,Utah,UT,1980,736536,724501,461830,889987,109220,19256,15076,9225,1382550,1461037,317172,131431,448603
1,1,Vermont,VT,1980,262376,249080,116503,336787,58166,984,1355,1135,506736,511456,122560,55765,178325
3,5,Virginia,VA,1980,2728508,2618310,1179261,3662253,505304,9454,66209,1008668,4229798,5346818,1221555,641518,1863073
4,9,Washington,WA,1980,2079849,2052307,924129,2776465,431562,60804,102537,105574,3779170,4132156,1011319,529191,1540510
3,5,West_Virginia,WV,1980,1004236,945408,455874,1255902,237868,1610,5194,65051,1874751,1949644,504921,181390,686311
2,3,Wisconsin,WI,1980,2400340,2305427,1083991,3057579,564197,29499,18164,182592,4443035,4705767,1127367,524894,1652261
4,8,Wyoming,WY,1980,228997,240560,121266,311116,37175,7094,1969,3364,446488,469557,114653,50971,165624
3,6,Alabama,AL,1990,2104425,1936162,876295,2641303,522989,16506,21797,1020705,2975797,4040587,1061897,444893,1506790
4,8,Arizona,AZ,1990,1854537,1810691,832956,2353498,478774,203527,55206,110524,2963186,3665228,878561,490282,1368843
3,7,Arkansas,AR,1990,1217649,1133076,515815,1484852,350058,12773,12530,373912,1944744,2350725,619938,271241,891179
4,9,California,CA,1990,14862394,14897627,6599040,20025429,3135552,242164,2845659,2208801,20524327,29760021,5773943,4607263,10381206
4,8,Colorado,CO,1990,1663099,1631295,733379,2231572,329443,27776,59862,133146,2905474,3294394,798277,484212,1282489
1,1,Connecticut,CT,1990,1694243,1592873,631733,2209476,445907,6654,50698,274269,2859353,3287116,807481,422998,1230479
3,5,Delaware,DE,1990,343200,322968,138828,446605,80735,2019,9057,112460,535094,666168,173813,73684,247497
3,5,District_of_Columbia,DC,1990,323930,282970,98666,430387,77847,1466,11214,399604,179667,606900,97108,152526,249634
3,5,Florida,FL,1990,6676207,6261719,2412069,8156426,2369431,36335,154302,1759534,10749285,12937926,3452160,1682709,5134869
3,5,Georgia,GA,1990,3333713,3144503,1446101,4377845,654270,13348,75781,1746565,4600148,6478216,1536759,829856,2366615
4,8,Idaho,ID,1990,505793,500956,260422,625062,121265,13780,9365,3370,950451,1006749,252734,107989,360723
2,3,Illinois,IL,1990,5878369,5552233,2481228,7512829,1436545,21836,285311,1694273,8952978,11430602,2699182,1503058,4202240
2,3,Indiana,IN,1990,2855878,2688281,1215632,3632331,696196,12720,37617,432092,5020700,5544159,1450898,614457,2065355
2,4,Iowa,IA,1990,1431953,1344802,606758,1743891,426106,7349,25476,48090,2683090,2776755,745377,318948,1064325
2,4,Kansas,KS,1990,1262929,1214645,563844,1571159,342571,21965,31750,143076,2231986,2477574,641762,302964,944726
3,6,Kentucky,KY,1990,1900061,1785235,791615,2426836,466845,5769,17812,262907,3391832,3685296,960469,419313,1379782
3,7,Louisiana,LA,1990,2188587,2031386,1035470,2715512,468991,18541,41099,1299281,2839138,4219973,987919,511350,1499269
1,1,Maine,ME,1990,630078,597850,258807,805748,163373,5998,6683,5138,1208360,1227928,327888,137424,465312
3,5,Maryland,MD,1990,2462797,2318671,987355,3276631,517482,12972,139719,1189899,3393964,4781468,1137296,611695,1748991
1,1,Massachusetts,MA,1990,3127680,2888745,1138601,4058540,819284,12241,143392,300130,5405374,6016425,1331493,915617,2247110
2,3,Michigan,MI,1990,4782516,4512781,2061171,6125665,1108461,55638,104983,1291706,7756086,9295297,2427643,991688,3419331
2,4,Minnesota,MN,1990,2229916,2145183,995937,2832228,546934,49909,77886,94944,4130395,4375099,1183673,464180,1647853
3,6,Mississippi,MS,1990,1342599,1230617,620588,1631344,321284,8525,13016,915057,1633461,2573216,651587,259787,911374
2,4,Missouri,MO,1990,2652758,2464315,1108575,3290817,717681,19835,41277,548208,4486228,5117073,1348746,612460,1961206
4,8,Montana,MT,1990,403296,395769,187533,505035,106497,47679,4259,2381,741111,799065,205899,100264,306163
2,4,Nebraska,NE,1990,808946,769439,363390,991927,223068,12410,12422,57404,1480558,1578385,400394,201969,602363
4,8,Nevada,NV,1990,589953,611880,253787,820415,127631,19637,38127,78771,1012695,1201833,255388,210909,466297
1,1,New_Hampshire,NH,1990,565708,543544,236931,747292,125029,2134,9343,7198,1087433,1109252,280372,130814,411186
1,2,New_Jersey,NJ,1990,3994503,3735685,1506664,5191499,1032025,14970,272521,1036825,6130465,7730188,1813381,981330,2794711
4,8,New_Mexico,NM,1990,769816,745253,378569,973438,163062,134355,14124,30210,1146028,1515069,365965,176744,542709
1,2,New_York,NY,1990,9364782,8625673,3573947,12052786,2363722,62651,693760,2859055,13385255,17990455,3464436,3174886,6639322
3,5,North_Carolina,NC,1990,3414347,3214290,1335416,4488880,804341,80155,52166,1456323,5008491,6628637,1711817,805209,2517026
2,4,North_Dakota,ND,1990,320599,318201,148697,399048,91055,25917,3462,3524,604142,638800,157950,82928,240878
2,3,Ohio,OH,1990,5620775,5226340,2347106,7093048,1406961,20358,91179,1154826,9521756,10847115,2758149,1329397,4087546
3,7,Oklahoma,OK,1990,1614766,1530819,702537,2018835,424213,252420,33563,233801,2583512,3145585,821188,384947,1206135
4,9,Oregon,OR,1990,1445248,1397073,612561,1838436,391324,38496,69269,46178,2636787,2842321,695957,407356,1103313
